time,x,y
0.005,3.61791,1.88834
0.01,4.55444,2.31509
0.015,4.55444,2.31509
0.02,5.62693,2.77432
0.025,6.83356,3.25449
0.03,9.62366,4.2232
0.035,11.1857,4.68279
0.04,12.8398,5.10723
0.045,14.5684,5.48425
0.05,16.3524,5.80374
0.055,16.3524,5.80374
0.06,20.0075,6.24305
0.065,21.8392,6.3564
0.07,23.6492,6.39911
0.075,23.6492,6.39911
0.08,25.4211,6.3744
0.085,27.1407,6.2874
0.09,30.3777,5.95384
0.095,31.8784,5.72291
0.1,33.2932,5.46011
0.105,34.6191,5.17343
0.11,35.8551,4.87035
0.115,37.0014,4.55771
0.12,38.0599,4.24155
0.125,39.0332,3.92708
0.13,39.9247,3.61862
0.135,40.7384,3.31968
0.14,41.4788,3.03299
0.145,42.1504,2.76056
0.15,42.758,2.50377
0.155,43.3064,2.26348
0.16,43.8001,2.04008
0.165,44.2436,1.83359
0.17,44.6412,1.64374
0.175,44.997,1.47001
0.18,44.997,1.47001
0.185,45.3148,1.31171
0.19,45.5983,1.16805
0.195,45.8506,1.03814
0.2,46.075,0.921037
0.205,46.4508,0.72149
0.21,46.6072,0.63718
0.215,46.7455,0.561983
0.22,46.8677,0.495059
0.225,46.9756,0.435612
0.23,47.0707,0.382902
0.235,47.1544,0.336244
0.24,47.2281,0.295005
0.245,47.2928,0.258608
0.25,47.3498,0.226527
0.255,47.3997,0.198283
0.26,47.4435,0.173445
0.265,47.4819,0.151625
0.27,47.5155,0.132475
0.275,47.545,0.115683
0.28,47.5707,0.10097
0.285,47.5932,0.0880887
0.29,47.5932,0.0880887
0.295,47.6129,0.0768192
