time,x,y
0.005,6.85613,3.88374
0.01,7.91782,4.3939
0.015,9.1046,4.9267
0.02,10.413,5.46988
0.025,11.8364,6.01007
0.03,13.3656,6.53353
0.035,14.9884,7.02681
0.04,16.6904,7.47752
0.045,18.4555,7.87492
0.05,20.2661,8.21038
0.055,22.1042,8.47773
0.06,23.9516,8.67336
0.065,25.7908,8.79625
0.07,27.6053,8.84777
0.075,29.3802,8.83138
0.08,31.1024,8.75229
0.085,32.7607,8.61702
0.09,34.3463,8.43301
0.095,35.8524,8.20815
0.1,37.2741,7.95049
0.105,38.6084,7.66788
0.11,39.8542,7.36775
0.115,41.0115,7.05692
0.12,42.0818,6.74146
0.125,43.0676,6.42664
0.13,43.9718,6.11694
0.135,44.7984,5.81598
0.14,45.5514,5.52665
0.145,46.2352,5.25111
0.15,46.8545,4.99092
0.155,47.4138,4.74705
0.16,47.9177,4.52003
0.165,48.3705,4.30998
0.17,48.7765,4.11671
0.175,49.1398,3.93978
0.18,49.4642,3.77855
0.185,49.7533,3.63225
0.19,50.0106,3.50002
0.195,50.239,3.38092
0.2,50.4416,3.274
0.205,50.6209,3.17831
0.21,50.7794,3.09292
0.215,50.9193,3.01691
0.22,51.0426,2.94941
0.225,51.1512,2.8896
0.23,51.2466,2.83673
0.235,51.3303,2.79007
0.24,51.4038,2.74897
0.245,51.4681,2.71283
0.25,51.5244,2.6811
0.255,51.5736,2.65329
0.26,51.6166,2.62893
0.265,51.6541,2.60764
0.27,51.6868,2.58905
0.275,51.7152,2.57283
0.28,51.74,2.5587
0.285,51.7615,2.5464
0.29,51.7802,2.5357
0.295,51.7964,2.52641
