time,x,y
0.005,15.1139,4.57967
0.01,15.1144,4.5797
0.015,15.1156,4.57975
0.02,15.1178,4.57985
0.025,15.1218,4.58003
0.03,15.1288,4.58036
0.035,15.1405,4.58089
0.04,15.1592,4.58174
0.045,15.1878,4.58304
0.05,15.2302,4.58496
0.055,15.2908,4.58769
0.06,15.3749,4.59143
0.065,15.4883,4.59643
0.07,15.6372,4.60288
0.075,15.8282,4.61096
0.08,16.0675,4.62081
0.085,16.3611,4.63246
0.09,16.7143,4.64584
0.095,17.1313,4.66075
0.1,17.6154,4.67684
0.105,18.1682,4.69363
0.11,18.79,4.71048
0.115,19.4797,4.72666
0.12,20.2344,4.74133
0.125,21.0499,4.75363
0.13,21.9207,4.76269
0.135,22.8403,4.76769
0.14,23.8013,4.76789
0.145,24.7954,4.7627
0.15,25.8144,4.75169
0.155,26.8494,4.7346
0.16,27.892,4.71137
0.165,28.9339,4.68212
0.17,29.9671,4.64716
0.175,30.9846,4.60692
0.18,31.9798,4.56199
0.185,32.9468,4.51305
0.19,33.8808,4.46083
0.195,34.7776,4.4061
0.2,35.634,4.34965
0.205,36.4476,4.29223
0.21,37.2166,4.23455
0.215,37.9401,4.17726
0.22,38.6177,4.12095
0.225,39.2495,4.06612
0.23,39.8363,4.0132
0.235,40.3791,3.96251
0.24,40.8794,3.91433
0.245,41.3389,3.86884
0.25,41.7595,3.82616
0.255,42.1432,3.78635
0.26,42.4922,3.74942
0.265,42.8087,3.71533
0.27,43.0949,3.68402
0.275,43.353,3.65539
0.28,43.5853,3.6293
0.285,43.7937,3.60564
0.29,43.9803,3.58424
0.295,44.147,3.56496
